ANO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|SEXO|EDAD|CURSODEVIDA|GRUPOEDAD|POBLACION_7
2023|1|Usaquén|Mujeres|61|Vejez|60 a 64|3918
2023|1|Usaquén|Mujeres|26|Juventud|25 a 29|5219
2023|1|Usaquén|Mujeres|30|Adultez|30 a 34|5306
2023|1|Usaquén|Mujeres|70|Vejez|70 a 74|2941
2023|1|Usaquén|Mujeres|86|Vejez|85 a 89|740
2023|1|Usaquén|Mujeres|40|Adultez|40 a 44|5014
2023|1|Usaquén|Mujeres|52|Adultez|50 a 54|4019
2023|1|Usaquén|Mujeres|91|Vejez|90 a 94|407
2023|2|Chapinero|Hombres|4|Primera infancia|00 a 04|988
2023|2|Chapinero|Hombres|47|Adultez|45 a 49|1237
2023|2|Chapinero|Hombres|53|Adultez|50 a 54|910
2023|2|Chapinero|Hombres|61|Vejez|60 a 64|853
2023|2|Chapinero|Hombres|84|Vejez|80 a 84|136
2023|2|Chapinero|Hombres|81|Vejez|80 a 84|204
2023|2|Chapinero|Hombres|96|Vejez|95 a 99|55
2023|2|Chapinero|Hombres|89|Vejez|85 a 89|84
2023|2|Chapinero|Hombres|92|Vejez|90 a 94|67
2023|2|Chapinero|Hombres|31|Adultez|30 a 34|1926
2023|2|Chapinero|Hombres|19|Juventud|15 a 19|810
2023|2|Chapinero|Hombres|16|Adolescencia|15 a 19|630
2023|2|Chapinero|Hombres|46|Adultez|45 a 49|1277
2023|2|Chapinero|Hombres|99|Vejez|95 a 99|35
2023|2|Chapinero|Hombres|59|Adultez|55 a 59|917
2023|2|Chapinero|Hombres|94|Vejez|90 a 94|61
2023|2|Chapinero|Hombres|1|Primera infancia|00 a 04|1202
2023|2|Chapinero|Hombres|8|Infancia|05 a 09|758
