year,district,age_range,entries,population,percentage
2023,5- Usme,5-9,5338,29859,17.8773569108141599
2023,6- Tunjuelito,5-9,1024,11010,9.3006357856494096
2023,7- Bosa,5-9,7054,51838,13.6077780778579421
2023,8- Kennedy,5-9,5370,65179,8.2388499363291858
2023,9- Fontibon,5-9,1238,21660,5.7156048014773777
2023,10- Engativa,5-9,2093,43979,"4.7590895654744310"
2023,11- Suba,5-9,3743,75548,"4.9544660348387780"
2023,12- Barrios Unidos,5-9,79,6589,1.1989679769312491
2023,13- Teusaquillo,5-9,10,4883,"0.20479213598197829203"
2023,14- Los Martires,5-9,636,4679,"13.5926480017097670"
2023,15- Antonio Narino,5-9,210,3987,5.2671181339352897
2023,16- Puente Aranda,5-9,146,12427,1.17486118934577935141
2023,17- La Candelaria,5-9,103,631,16.3232963549920761
2023,18- Rafael Uribe,5-9,1656,24742,6.6930725082855064
2023,19- Ciudad Bolivar,5-9,6726,49953,13.4646567773707285
2023,20- Sumapaz,5-9,131,330,"39.6969696969696970"
2023,1- Usaquen,60-59,2188,33234,"6.5836191851718120"
2023,2- Chapinero,60-59,55,9331,"0.58943307255385274890"
2023,3- Santa Fe,60-59,1506,4675,"32.2139037433155080"
2023,4- San Cristobal,60-59,5314,19272,27.5736820257368203
2023,5- Usme,60-59,6554,17037,38.4692140635088337
2023,6- Tunjuelito,60-59,2830,9079,31.1708337922678709
2023,7- Bosa,60-59,7507,29581,25.3777762753118556
2023,8- Kennedy,60-59,6460,49690,13.0006037432078889
2023,9- Fontibon,60-59,2076,21708,9.5632946379215036
2023,10- Engativa,60-59,5717,45836,"12.4727288594118160"
2023,11- Suba,60-59,7417,68409,10.8421406540075136
2023,12- Barrios Unidos,60-59,162,8641,1.8747830112255526
2023,13- Teusaquillo,60-59,42,10250,"0.40975609756097560976"
2023,14- Los Martires,60-59,468,3814,"12.2705820660723650"
2023,15- Antonio Narino,60-59,510,4482,11.3788487282463186
2023,16- Puente Aranda,60-59,490,15010,3.2644903397734843
2023,17- La Candelaria,60-59,300,974,30.8008213552361396
2023,18- Rafael Uribe,60-59,3556,18746,18.9693801344286781
2023,19- Ciudad Bolivar,60-59,8222,26190,31.3936617029400535
2023,20- Sumapaz,60-59,135,145,"93.1034482758620690"
2023,99- Unknown,60-59,1,74473,"0.00134276852013481396"
